Date,PortfolioValue
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,1.0
2022-01-04,1.003648281097412
2022-01-05,0.9933237433433533
2022-01-06,0.9971398711204529
2022-01-07,0.9949530959129333
2022-01-08,0.9787372946739197
2022-01-09,0.9787372946739197
2022-01-10,0.9787372946739197
2022-01-11,0.9815999269485474
2022-01-12,0.9846948981285095
2022-01-13,0.985041081905365
2022-01-14,0.9766368269920349
2022-01-15,0.9683016538619995
2022-01-16,0.9683016538619995
2022-01-17,0.9683016538619995
2022-01-18,0.9683016538619995
2022-01-19,0.9613906741142273
2022-01-20,0.9554799199104309
2022-01-21,0.9507753252983093
2022-01-22,0.961363673210144
2022-01-23,0.961363673210144
2022-01-24,0.961363673210144
2022-01-25,0.9684244990348816
2022-01-26,0.962181806564331
2022-01-27,0.9603216052055359
2022-01-28,0.9829235672950745
2022-01-29,0.998833417892456
2022-01-30,0.998833417892456
2022-01-31,0.998833417892456
2022-02-01,0.9827784299850464
2022-02-02,0.9920152425765991
2022-02-03,0.9658191204071045
2022-02-04,0.9737098813056946
2022-02-05,0.9715158343315125
2022-02-06,0.9715158343315125
2022-02-07,0.9715158343315125
2022-02-08,0.9771928191184998
2022-02-09,1.0102012157440186
2022-02-10,0.9926280379295349
2022-02-11,0.9588015675544739
2022-02-12,0.9582881927490234
2022-02-13,0.9582881927490234
2022-02-14,0.9582881927490234
2022-02-15,0.9877293109893799
2022-02-16,0.9885390400886536
2022-02-17,0.9501264691352844
2022-02-18,0.9365449547767639
2022-02-19,0.9235483407974243
2022-02-20,0.9235483407974243
2022-02-21,0.9235483407974243
2022-02-22,0.9235483407974243
2022-02-23,0.8989437222480774
2022-02-24,0.9343515038490295
2022-02-25,0.9504006505012512
2022-02-26,0.9443713426589966
2022-02-27,0.9443713426589966
2022-02-28,0.9443713426589966
2022-03-01,0.9277946949005127
2022-03-02,0.950049638748169
2022-03-03,0.9370965957641602
2022-03-04,0.9183123707771301
2022-03-05,0.8758562803268433
2022-03-06,0.8758562803268433
2022-03-07,0.8758562803268433
2022-03-08,0.870449423789978
2022-03-09,0.9120334982872009
2022-03-10,0.8997567296028137
2022-03-11,0.8874579668045044
2022-03-12,0.8650541305541992
2022-03-13,0.8650541305541992
2022-03-14,0.8650541305541992
2022-03-15,0.8963194489479065
2022-03-16,0.9283615946769714
2022-03-17,0.9442453980445862
2022-03-18,0.9708234071731567
2022-03-19,0.9653748273849487
2022-03-20,0.9653748273849487
2022-03-21,0.9653748273849487
2022-03-22,0.9790757298469543
2022-03-23,0.9605150818824768
2022-03-24,0.9865584969520569
2022-03-25,0.9814754128456116
2022-03-26,1.0008544921875
2022-03-27,1.0008544921875
2022-03-28,1.0008544921875
2022-03-29,1.022719144821167
2022-03-30,1.0035698413848877
2022-03-31,0.9845800399780273
2022-04-01,0.9788488149642944
2022-04-02,0.9981296062469482
2022-04-03,0.9981296062469482
2022-04-04,0.9981296062469482
2022-04-05,0.9747701287269592
2022-04-06,0.9497361183166504
2022-04-07,0.9485902190208435
2022-04-08,0.9332085251808167
2022-04-09,0.9129983186721802
2022-04-10,0.9129983186721802
2022-04-11,0.9129983186721802
2022-04-12,0.9083307385444641
2022-04-13,0.9260036945343018
2022-04-14,0.9205771088600159
2022-04-15,0.9178155064582825
2022-04-16,0.9178155064582825
2022-04-17,0.9178155064582825
2022-04-18,0.9178155064582825
2022-04-19,0.9404200315475464
2022-04-20,0.9331585168838501
2022-04-21,0.9135000109672546
2022-04-22,0.8812864422798157
2022-04-23,0.8834513425827026
2022-04-24,0.8834513425827026
2022-04-25,0.8834513425827026
2022-04-26,0.8495659232139587
2022-04-27,0.8509742617607117
2022-04-28,0.8911710381507874
2022-04-29,0.8630536198616028
2022-04-30,0.8673951029777527
2022-05-01,0.8673951029777527
2022-05-02,0.8673951029777527
2022-05-03,0.8738166689872742
2022-05-04,0.8995761275291443
2022-05-05,0.8935661911964417
2022-05-06,0.9047008752822876
2022-05-07,0.8780433535575867
2022-05-08,0.8780433535575867
2022-05-09,0.8780433535575867
2022-05-10,0.8715757727622986
2022-05-11,0.8421569466590881
2022-05-12,0.8373883366584778
2022-05-13,0.8750120997428894
