Ticker
AAPL
ABBV
ABT
ACN
AEP
AMGN
AMT
AMZN
APD
AVGO
AXP
BA
BAC
BKNG
BRK-B
BX
CAT
CBRE
CCI
CEG
CHTR
CL
CMCSA
CMG
COP
COST
CRM
CSCO
CTVA
CVX
D
DD
DE
DHR
DIS
DLR
DUK
ECL
EOG
EQIX
ETN
FANG
FCX
GE
GEV
GOOG
GOOGL
GS
HD
HON
IBM
ISRG
JNJ
JPM
KMI
KO
LIN
LLY
LMT
LOW
MA
MCD
MDLZ
META
MLM
MO
MRK
MS
MSFT
NEE
NEM
NFLX
NKE
NOW
NVDA
O
OKE
ORCL
PCG
PEP
PG
PLD
PM
PSA
PSX
RTX
SBUX
SHW
SLB
SO
SPG
SRE
T
TGT
TJX
TMO
TMUS
TSLA
UNH
UNP
UPS
V
VMC
VST
VZ
WELL
WFC
WMB
WMT
XOM
