Ticker
ACN
AMGN
AMT
AMZN
APD
AVGO
AXP
BA
BAC
BKNG
BRK-B
BX
CAT
CBRE
CCI
CSCO
CTVA
CVX
DUK
ECL
EOG
EQIX
ETN
FANG
FCX
GE
GEV
GOOG
GOOGL
MA
MCD
MDLZ
META
MLM
MSFT
NEM
NFLX
NKE
NOW
NVDA
ORCL
PCG
PEP
PG
PLD
PM
PSA
TSLA
WMT
XOM
