combination_id,best_val_loss,learning_rate,batch_size,d_ff,dropout,d_model,num_encoder_layers,mlp_hidden_layers,mlp_add_output_norm
6,1.2277545258402824,0.0001,64,64,0.1,64,2,1,False
16,1.2279238477349281,0.0001,64,64,0.1,128,1,2,False
177,1.2279294207692146,5e-05,64,128,0.2,64,3,1,True
5,1.2279308289289474,0.0001,64,64,0.1,64,2,1,True
105,1.2279358878731728,5e-05,64,64,0.1,64,3,1,True
185,1.228058136999607,5e-05,64,128,0.2,128,2,1,True
31,1.2282706126570702,0.0001,64,64,0.2,64,2,2,True
149,1.2283490598201752,5e-05,64,128,0.1,64,2,1,True
106,1.22836135327816,5e-05,64,64,0.1,64,3,1,False
134,1.2284175753593445,5e-05,64,64,0.2,128,1,1,False
188,1.2285093367099762,5e-05,64,128,0.2,128,2,2,False
104,1.2285589575767517,5e-05,64,64,0.1,64,2,2,False
36,1.2286637723445892,0.0001,64,64,0.2,64,3,2,False
136,1.228688731789589,5e-05,64,64,0.2,128,1,2,False
114,1.2288375869393349,5e-05,64,64,0.1,128,2,1,False
12,1.229052223265171,0.0001,64,64,0.1,64,3,2,False
181,1.229104369878769,5e-05,64,128,0.2,128,1,1,True
60,1.2292708232998848,0.0001,64,128,0.1,64,3,2,False
140,1.2292814776301384,5e-05,64,64,0.2,128,2,2,False
156,1.2294457256793976,5e-05,64,128,0.1,64,3,2,False
162,1.2296031787991524,5e-05,64,128,0.1,128,2,1,False
18,1.2299093827605247,0.0001,64,64,0.1,128,2,1,False
190,1.2300269827246666,5e-05,64,128,0.2,128,3,1,False
67,1.2300478965044022,0.0001,64,128,0.1,128,2,2,True
32,1.2302591055631638,0.0001,64,64,0.2,64,2,2,False
155,1.2302599251270294,5e-05,64,128,0.1,64,3,2,True
120,1.2305245846509933,5e-05,64,64,0.1,128,3,2,False
79,1.230638787150383,0.0001,64,128,0.2,64,2,2,True
8,1.2307676672935486,0.0001,64,64,0.1,64,2,2,False
14,1.2307917028665543,0.0001,64,64,0.1,128,1,1,False
91,1.2309449762105942,0.0001,64,128,0.2,128,2,2,True
47,1.2309617847204208,0.0001,64,64,0.2,128,3,2,True
58,1.2309957593679428,0.0001,64,128,0.1,64,3,1,False
180,1.2310478314757347,5e-05,64,128,0.2,64,3,2,False
35,1.231057494878769,0.0001,64,64,0.2,64,3,2,True
83,1.231076031923294,0.0001,64,128,0.2,64,3,2,True
164,1.2315095141530037,5e-05,64,128,0.1,128,2,2,False
151,1.23155827075243,5e-05,64,128,0.1,64,2,2,True
189,1.2316284701228142,5e-05,64,128,0.2,128,3,1,True
42,1.23163740336895,0.0001,64,64,0.2,128,2,1,False
76,1.2318737655878067,0.0001,64,128,0.2,64,1,2,False
109,1.2319003492593765,5e-05,64,64,0.1,128,1,1,True
93,1.2319043427705765,0.0001,64,128,0.2,128,3,1,True
68,1.2320470437407494,0.0001,64,128,0.1,128,2,2,False
24,1.2320922687649727,0.0001,64,64,0.1,128,3,2,False
153,1.232132151722908,5e-05,64,128,0.1,64,3,1,True
116,1.2323264479637146,5e-05,64,64,0.1,128,2,2,False
192,1.2326226979494095,5e-05,64,128,0.2,128,3,2,False
191,1.2326456904411316,5e-05,64,128,0.2,128,3,2,True
69,1.232794389128685,0.0001,64,128,0.1,128,3,1,True
102,1.232957124710083,5e-05,64,64,0.1,64,2,1,False
163,1.2331528812646866,5e-05,64,128,0.1,128,2,2,True
129,1.2332978323101997,5e-05,64,64,0.2,64,3,1,True
172,1.2334566116333008,5e-05,64,128,0.2,64,1,2,False
96,1.2338600754737854,0.0001,64,128,0.2,128,3,2,False
43,1.2338823080062866,0.0001,64,64,0.2,128,2,2,True
178,1.2340259477496147,5e-05,64,128,0.2,64,3,1,False
115,1.2340403646230698,5e-05,64,64,0.1,128,2,2,True
107,1.2342072427272797,5e-05,64,64,0.1,64,3,2,True
20,1.2342384308576584,0.0001,64,64,0.1,128,2,2,False
15,1.2343805581331253,0.0001,64,64,0.1,128,1,2,True
72,1.2343808189034462,0.0001,64,128,0.1,128,3,2,False
40,1.2343935072422028,0.0001,64,64,0.2,128,1,2,False
170,1.234566055238247,5e-05,64,128,0.2,64,1,1,False
98,1.2346306517720222,5e-05,64,64,0.1,64,1,1,False
165,1.234685130417347,5e-05,64,128,0.1,128,3,1,True
143,1.2349097654223442,5e-05,64,64,0.2,128,3,2,True
167,1.235135704278946,5e-05,64,128,0.1,128,3,2,True
44,1.2351533696055412,0.0001,64,64,0.2,128,2,2,False
34,1.2352203503251076,0.0001,64,64,0.2,64,3,1,False
10,1.2352557703852654,0.0001,64,64,0.1,64,3,1,False
92,1.2355380356311798,0.0001,64,128,0.2,128,2,2,False
9,1.235580176115036,0.0001,64,64,0.1,64,3,1,True
113,1.235598087310791,5e-05,64,64,0.1,128,2,1,True
