Date,PortfolioValue
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,1.0
2022-01-04,1.0302855968475342
2022-01-05,1.0253825187683105
2022-01-06,1.0358374118804932
2022-01-07,1.0495197772979736
2022-01-08,1.0523443222045898
2022-01-09,1.0523443222045898
2022-01-10,1.0523443222045898
2022-01-11,1.0520975589752197
2022-01-12,1.0592067241668701
2022-01-13,1.0661265850067139
2022-01-14,1.0748926401138306
2022-01-15,1.0772243738174438
2022-01-16,1.0772243738174438
2022-01-17,1.0772243738174438
2022-01-18,1.0772243738174438
2022-01-19,1.0754908323287964
2022-01-20,1.0643751621246338
2022-01-21,1.0622035264968872
2022-01-22,1.0483301877975464
2022-01-23,1.0483301877975464
2022-01-24,1.0483301877975464
2022-01-25,1.0557301044464111
2022-01-26,1.0268452167510986
2022-01-27,1.043837070465088
2022-01-28,1.0543686151504517
2022-01-29,1.1026915311813354
2022-01-30,1.1026915311813354
2022-01-31,1.1026915311813354
2022-02-01,1.0835516452789307
2022-02-02,1.1015558242797852
2022-02-03,1.0724670886993408
2022-02-04,1.0812292098999023
2022-02-05,1.078792929649353
2022-02-06,1.078792929649353
2022-02-07,1.078792929649353
2022-02-08,1.0850967168807983
2022-02-09,1.121749997138977
2022-02-10,1.1022363901138306
2022-02-11,1.064674735069275
2022-02-12,1.064104676246643
2022-02-13,1.064104676246643
2022-02-14,1.064104676246643
2022-02-15,1.0967967510223389
2022-02-16,1.0976959466934204
2022-02-17,1.055041790008545
2022-02-18,1.039960503578186
2022-02-19,1.0255287885665894
2022-02-20,1.0255287885665894
2022-02-21,1.0255287885665894
2022-02-22,1.0255287885665894
2022-02-23,0.9982072710990906
2022-02-24,1.0375248193740845
2022-02-25,1.055346131324768
2022-02-26,1.048651099205017
2022-02-27,1.048651099205017
2022-02-28,1.048651099205017
2022-03-01,1.030243992805481
2022-03-02,1.0549564361572266
2022-03-03,1.0405731201171875
2022-03-04,1.0197147130966187
2022-03-05,0.972570538520813
2022-03-06,0.972570538520813
2022-03-07,0.972570538520813
2022-03-08,0.9665666818618774
2022-03-09,1.0127426385879517
2022-03-10,0.999110221862793
2022-03-11,0.9854534268379211
2022-03-12,0.9605756998062134
2022-03-13,0.9605756998062134
2022-03-14,0.9605756998062134
2022-03-15,0.995293378829956
2022-03-16,1.0308737754821777
2022-03-17,1.0485115051269531
2022-03-18,1.0780242681503296
2022-03-19,1.0719740390777588
2022-03-20,1.0719740390777588
2022-03-21,1.0719740390777588
2022-03-22,1.0871878862380981
2022-03-23,1.066577672958374
2022-03-24,1.0954968929290771
2022-03-25,1.0898525714874268
2022-03-26,1.1113715171813965
2022-03-27,1.1113715171813965
2022-03-28,1.1113715171813965
2022-03-29,1.1356505155563354
2022-03-30,1.1143866777420044
2022-03-31,1.0932999849319458
2022-04-01,1.0869358777999878
2022-04-02,1.1083457469940186
2022-04-03,1.1083457469940186
2022-04-04,1.1083457469940186
2022-04-05,1.0824068784713745
2022-04-06,1.0546085834503174
2022-04-07,1.0533361434936523
2022-04-08,1.036255955696106
2022-04-09,1.013814091682434
2022-04-10,1.013814091682434
2022-04-11,1.013814091682434
2022-04-12,1.0086311101913452
2022-04-13,1.028255581855774
2022-04-14,1.022229790687561
2022-04-15,1.0191632509231567
2022-04-16,1.0191632509231567
2022-04-17,1.0191632509231567
2022-04-18,1.0191632509231567
2022-04-19,1.0442638397216797
2022-04-20,1.0362005233764648
2022-04-21,1.0143712759017944
2022-04-22,0.9786006212234497
2022-04-23,0.9810045957565308
2022-04-24,0.9810045957565308
2022-04-25,0.9810045957565308
2022-04-26,0.9433774948120117
2022-04-27,0.9449413418769836
2022-04-28,0.9895767569541931
2022-04-29,0.9471410512924194
2022-04-30,0.9579843878746033
2022-05-01,0.9579843878746033
2022-05-02,0.9579843878746033
2022-05-03,0.9517102837562561
2022-05-04,0.9782742261886597
2022-05-05,0.9301106333732605
2022-05-06,0.9134513139724731
2022-05-07,0.8722903728485107
2022-05-08,0.8722903728485107
2022-05-09,0.8722903728485107
2022-05-10,0.8784229159355164
2022-05-11,0.8586047291755676
2022-05-12,0.8625679612159729
2022-05-13,0.9013230204582214
2022-05-14,0.8863558769226074
2022-05-15,0.8863558769226074
2022-05-16,0.8863558769226074
2022-05-17,0.9078442454338074
2022-05-18,0.8647751212120056
2022-05-19,0.8638882040977478
2022-05-20,0.8708794713020325
2022-05-21,0.8744592666625977
2022-05-22,0.8744592666625977
2022-05-23,0.8744592666625977
2022-05-24,0.8609965443611145
2022-05-25,0.8884599208831787
2022-05-26,0.9082332849502563
2022-05-27,0.9377159476280212
2022-05-28,0.9322095513343811
2022-05-29,0.9322095513343811
2022-05-30,0.9322095513343811
2022-05-31,0.9322095513343811
2022-06-01,0.9302709698677063
2022-06-02,0.9672083258628845
2022-06-03,0.9433985352516174
2022-06-04,0.9450004696846008
2022-06-05,0.9450004696846008
2022-06-06,0.9450004696846008
2022-06-07,0.9563247561454773
2022-06-08,0.9481647610664368
2022-06-09,0.9231396317481995
2022-06-10,0.892535924911499
2022-06-11,0.8438808917999268
2022-06-12,0.8438808917999268
2022-06-13,0.8438808917999268
2022-06-14,0.8644806146621704
2022-06-15,0.8875547647476196
2022-06-16,0.8492094278335571
2022-06-17,0.8580737709999084
2022-06-18,0.8735550045967102
2022-06-19,0.8735550045967102
2022-06-20,0.8735550045967102
2022-06-21,0.8735550045967102
2022-06-22,0.8661214709281921
2022-06-23,0.8869681358337402
2022-06-24,0.922848641872406
2022-06-25,0.9133434295654297
2022-06-26,0.9133434295654297
