Date,PortfolioValue
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,1.0
2022-01-04,0.9933438897132874
2022-01-05,0.958168625831604
2022-01-06,0.9617763757705688
2022-01-07,0.9506027102470398
2022-01-08,0.9500754475593567
2022-01-09,0.9500754475593567
2022-01-10,0.9500754475593567
2022-01-11,0.9523252248764038
2022-01-12,0.9555125832557678
2022-01-13,0.9235523343086243
2022-01-14,0.9270949959754944
2022-01-15,0.9062594175338745
2022-01-16,0.9062594175338745
2022-01-17,0.9062594175338745
2022-01-18,0.9062594175338745
2022-01-19,0.890163004398346
2022-01-20,0.8739274144172668
2022-01-21,0.8666178584098816
2022-01-22,0.8781517744064331
2022-01-23,0.8781517744064331
2022-01-24,0.8781517744064331
2022-01-25,0.8578097224235535
2022-01-26,0.8502050638198853
2022-01-27,0.860309898853302
2022-01-28,0.8852900862693787
2022-01-29,0.9097577929496765
2022-01-30,0.9097577929496765
2022-01-31,0.9097577929496765
2022-02-01,0.910304605960846
2022-02-02,0.9187411069869995
2022-02-03,0.8944799304008484
2022-02-04,0.9017878174781799
2022-02-05,0.8997558355331421
2022-02-06,0.8997558355331421
2022-02-07,0.8997558355331421
2022-02-08,0.9050134420394897
2022-02-09,0.9355837106704712
2022-02-10,0.9193085432052612
2022-02-11,0.8879806399345398
2022-02-12,0.8875051736831665
2022-02-13,0.8875051736831665
2022-02-14,0.8875051736831665
2022-02-15,0.9147716760635376
2022-02-16,0.9155216217041016
2022-02-17,0.8799463510513306
2022-02-18,0.8673679828643799
2022-02-19,0.8553313612937927
2022-02-20,0.8553313612937927
2022-02-21,0.8553313612937927
2022-02-22,0.8553313612937927
2022-02-23,0.8325441479682922
2022-02-24,0.865336537361145
2022-02-25,0.880200207233429
2022-02-26,0.874616265296936
2022-02-27,0.874616265296936
2022-02-28,0.874616265296936
2022-03-01,0.859264075756073
2022-03-02,0.8798751831054688
2022-03-03,0.8678789138793945
2022-03-04,0.850482165813446
2022-03-05,0.8111620545387268
2022-03-06,0.8111620545387268
2022-03-07,0.8111620545387268
2022-03-08,0.8061546087265015
2022-03-09,0.8446671366691589
2022-03-10,0.8332971930503845
2022-03-11,0.8219068646430969
2022-03-12,0.8011578917503357
2022-03-13,0.8011578917503357
2022-03-14,0.8011578917503357
2022-03-15,0.8301138281822205
2022-03-16,0.859789252281189
2022-03-17,0.8744998574256897
2022-03-18,0.899114727973938
2022-03-19,0.8940685987472534
2022-03-20,0.8940685987472534
2022-03-21,0.8940685987472534
2022-03-22,0.9067575335502625
2022-03-23,0.8895678520202637
2022-03-24,0.9136876463890076
2022-03-25,0.9089800119400024
2022-03-26,0.9269276857376099
2022-03-27,0.9269276857376099
2022-03-28,0.9269276857376099
2022-03-29,0.9471772909164429
2022-03-30,0.9294424057006836
2022-03-31,0.9118552207946777
2022-04-01,0.9065473079681396
2022-04-02,0.924403965473175
2022-04-03,0.924403965473175
2022-04-04,0.924403965473175
2022-04-05,0.902769923210144
2022-04-06,0.8795850276947021
2022-04-07,0.8785237669944763
2022-04-08,0.8642781972885132
2022-04-09,0.8455607891082764
2022-04-10,0.8455607891082764
2022-04-11,0.8455607891082764
2022-04-12,0.8412379622459412
2022-04-13,0.857605516910553
2022-04-14,0.8525797724723816
2022-04-15,0.8500221967697144
2022-04-16,0.8500221967697144
2022-04-17,0.8500221967697144
2022-04-18,0.8500221967697144
2022-04-19,0.87095707654953
2022-04-20,0.8642319440841675
2022-04-21,0.8460255265235901
2022-04-22,0.8161913752555847
2022-04-23,0.8181964159011841
2022-04-24,0.8181964159011841
2022-04-25,0.8181964159011841
2022-04-26,0.7868139147758484
2022-04-27,0.7881182432174683
2022-04-28,0.8253459334373474
2022-04-29,0.7899528741836548
2022-04-30,0.79899662733078
2022-05-01,0.79899662733078
2022-05-02,0.79899662733078
2022-05-03,0.7937637567520142
2022-05-04,0.8159191012382507
2022-05-05,0.7757487893104553
2022-05-06,0.7618542313575745
2022-05-07,0.7275243401527405
2022-05-08,0.7275243401527405
2022-05-09,0.7275243401527405
2022-05-10,0.7326390743255615
2022-05-11,0.7161099314689636
2022-05-12,0.7194154262542725
2022-05-13,0.7517386674880981
2022-05-14,0.7392554879188538
2022-05-15,0.7392554879188538
2022-05-16,0.7392554879188538
2022-05-17,0.7571775913238525
2022-05-18,0.7212562561035156
2022-05-19,0.7205165028572083
2022-05-20,0.7263474464416504
2022-05-21,0.7293331623077393
2022-05-22,0.7293331623077393
2022-05-23,0.7293331623077393
2022-05-24,0.7181047201156616
2022-05-25,0.7410102486610413
2022-05-26,0.757502019405365
2022-05-27,0.7820916771888733
2022-05-28,0.7774991393089294
2022-05-29,0.7774991393089294
2022-05-30,0.7774991393089294
2022-05-31,0.7774991393089294
2022-06-01,0.7758823037147522
2022-06-02,0.8066895008087158
2022-06-03,0.7868312001228333
2022-06-04,0.7881672382354736
2022-06-05,0.7881672382354736
2022-06-06,0.7881672382354736
2022-06-07,0.7976121306419373
2022-06-08,0.7908064126968384
2022-06-09,0.7699344754219055
2022-06-10,0.7444097995758057
2022-06-11,0.7038296461105347
2022-06-12,0.7038296461105347
2022-06-13,0.7038296461105347
2022-06-14,0.7210106253623962
2022-06-15,0.7402553558349609
2022-06-16,0.7082738280296326
2022-06-17,0.7156670093536377
2022-06-18,0.7285789847373962
2022-06-19,0.7285789847373962
2022-06-20,0.7285789847373962
2022-06-21,0.7285789847373962
2022-06-22,0.7223791480064392
2022-06-23,0.7397660613059998
2022-06-24,0.7696917653083801
2022-06-25,0.7617640495300293
